simulation_id,timestamp,current_price,highest_price,target_price,average_price,lowest_price,simulated_data,total_simulated,processing_time,data_source
1,1760968639515,110949,296689,136006,113165,43962,1000000,1000000,24.63 sec,source_simulation_1.csv
2,1760968650395,110959,296689,136031,113172,42635,1000000,2000000,25.56 sec,source_simulation_2.csv
3,1760968685122,110959,317327,136026,113167,38032,1000000,3000000,24.82 sec,source_simulation_3.csv
4,1760968746574,110938,286637,136075,113195,42585,1000000,4000000,27.34 sec,source_simulation_4.csv
5,1760968811710,110938,320635,136063,113210,41948,1000000,5000000,32.50 sec,source_simulation_5.csv
6,1760968871976,110954,274194,136034,113200,43387,1000000,6000000,32.11 sec,source_simulation_6.csv
7,1760968937714,110983,290881,136081,113212,42997,1000000,7000000,38.29 sec,source_simulation_7.csv
8,1760969011680,111005,297124,136101,113210,42162,1000000,8000000,51.15 sec,source_simulation_8.csv
9,1760969062541,111003,272548,136092,113214,40741,1000000,9000000,42.67 sec,source_simulation_9.csv
10,1760969120352,110982,306664,136069,113200,41261,1000000,10000000,41.03 sec,source_simulation_10.csv
11,1760969181761,110955,323136,136046,113173,41928,1000000,11000000,42.60 sec,source_simulation_11.csv
12,1760969240924,110972,302029,136100,113200,39526,1000000,12000000,41.37 sec,source_simulation_12.csv
13,1760969299735,110952,290780,136109,113214,43614,1000000,13000000,40.48 sec,source_simulation_13.csv
14,1760969354357,110936,295771,136038,113200,44386,1000000,14000000,35.44 sec,source_simulation_14.csv
15,1760969411697,110918,300166,135975,113158,42465,1000000,15000000,32.81 sec,source_simulation_15.csv
16,1760969469541,110918,296190,136064,113181,37215,1000000,16000000,30.63 sec,source_simulation_16.csv
17,1760969531674,110931,328249,136044,113172,37117,1000000,17000000,32.80 sec,source_simulation_17.csv
18,1760969587581,110949,271787,136085,113205,41132,1000000,18000000,28.50 sec,source_simulation_18.csv
19,1760969649953,110968,295006,136063,113232,42682,1000000,19000000,31.04 sec,source_simulation_19.csv
